Object Number,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Suffix,Artist Nationality,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository,Tags
62.16,1674,American Decorative Arts,Side Chair,Side Chair,American,,,,,Maker,Attributed to,Samuel McIntire,,,1794,1799.0,"Mahogany, ebony, ash, birch, white pine",37 7/8 x 27 7/8 x 18 in. (96.2 x 70.8 x 45.7 cm),"Friends of the American Wing Fund, 1962",Made in,Salem,,United States,,,,,,,Furniture,,http://www.metmuseum.org/art/collection/search/1674,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Chairs
13.7.17,2430,American Decorative Arts,Pitcher,Covered Pitcher,American,,,,,,,,,,1700,1900.0,Earthenware,7 1/4 x 6 3/8 x 5 1/2 in. (18.4 x 16.2 x 14 cm),"Rogers Fund, 1913",Made in,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/2430,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Pitchers
33.85.11,6406,American Decorative Arts,Plate,Plate,Dutch,,,,,,,,,,1740,1760.0,Earthenware,Diam. 8 7/8 in. (22.5 cm),"Rogers Fund, 1933",Made in,Delft,,Netherlands,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6406,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",
69.194.109,7616,American Decorative Arts,Soup bowl,Soup Bowl,American,,,,,Maker,,Union Porcelain Works,,,1885,1885.0,Porcelain,H. 1 7/16 in. (3.7 cm); Diam. 8 3/4 in. (22.2 cm),"Gift of Mr. and Mrs. Franklin Chace, 1969",Made in,Brooklyn,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/7616,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Bowls
2006.235.20,15012,American Decorative Arts,"Painting, miniature",Portrait of a Lady,American,,,,,Artist,,John Henry Brown,,,1840,1840.0,Watercolor on ivory,2 11/16 x 2 3/16 in. (6.8 x 5.6 cm),"Fletcher Fund, 2006",,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/15012,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Pendants|Portraits|Women
32.75.439,23510,Arms and Armor,Arrowhead (Yanonē),Arrowhead (Yanonē),Japanese,,,,,,,,,,1701,1800.0,Steel,L. 11 in. (27.9 cm); L. of head 3 1/2 in. (8.9 cm); W. 3/4 in. (1.9 cm); Wt. 1.8 oz. (51 g),"The Collection of Giovanni P. Morosini, presented by his daughter Giulia, 1932",,,,,,,,,,,Archery Equipment-Arrowheads,,http://www.metmuseum.org/art/collection/search/23510,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Arrowheads
36.120.286,29920,Arms and Armor,Knife handle (Kozuka),Knife Handle (Kozuka),Japanese,,,,,,,,,,1770,1852.0,"Copper-gold alloy (shakudō), copper-silver alloy (shibuichi), gold",L. 3 13/16 in. (9.7 cm); W. 9/16 in. (1.4 cm); thickness 5/16 in. (0.8 cm); Wt. 1.1 oz. (31.2 g),"The Howard Mansfield Collection, Gift of Howard Mansfield, 1936",,,,,,,,,,,Sword Furniture-Kozuka,,http://www.metmuseum.org/art/collection/search/29920,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Animals|Hilts
23.135.3,32848,Arms and Armor,Coin (Thaler),Coin (Thaler) Showing August I (The Pious) of Saxony,German,,,,,,,,,,1580,1580.0,Silver,Diam. 1 9/16 in. (4 cm); thickness 1/8 in. (0.3 cm); Wt. 1 oz. (28.3 g),"Gift of Bashford Dean, 1923",,,,,,,,,,,Miscellaneous-Coins and Medals,,http://www.metmuseum.org/art/collection/search/32848,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Swords|Men|Profiles|Coins
"29.158.740a, b",34014,Arms and Armor,Two drawings,Drawings Showing Combat on Foot (Champ Clos),German,,,,,,,,,,1501,1600.0,"Pen, ink and watercolor on paper",7 1/2 x 5 1/2 in. (19 x 13.9 cm),"Bashford Dean Memorial Collection, Funds from various donors, 1929",,,,,,,,,,,Works on Paper-Drawings,,http://www.metmuseum.org/art/collection/search/34014,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Armor|Weapons|Men
29.156.26,34308,Arms and Armor,Partisan,Partisan,German,,,,,,,,,,1701,1800.0,"Steel, wood, textile, metallic thread",L. 92 1/8 in. (234 cm); L. of head 15 3/8 in. (39.1 cm); W. 6 3/4 in. (17.1 cm); Wt. 4 lbs. 4.5 oz. (1941.9 g),"Bashford Dean Memorial Collection, Gift of Edward S. Harkness, 1929",,,,,,,,,,,Shafted Weapons,,http://www.metmuseum.org/art/collection/search/34308,5/13/2019 8:00,"Metropolitan Museum of Art, New York, NY",Weapons
